1,wither,"[['Sports: other sports', 'Business'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Games and toys', 'Sports: ball and racket sports', 'Music', 'Music', 'Film and theatre'], ['Sports: other sports', 'Plants and trees'], ['Sports: other sports', 'Crime and punishment', 'Jobs'], 'Gamer', 'Participant', ['Education', 'Education']]","['Leaderboard', ['Geography', 'Success'], ['Geography'], ['Games and toys', 'Sports: ball and racket sports', 'Sports: ball and racket sports', 'Education', 'Success', 'Opinion and argument'], ['Music'], ['Shopping', 'Transport by water'], ['People in society', 'War and conflict'], ['Suggestions and advice']]"
2,play,"['people', ['Life stages', 'Life stages'], ['Life stages'], ['Life stages', 'Animals'], ['Education', 'Education'], ['Music', 'Jobs'], ['Film and theatre', 'Jobs'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], 'Participant', 'Individual', ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Animals']]","[['Music', 'Scientific research', 'Engineering'], ['Shopping', 'Games and toys', 'Sports: ball and racket sports', 'Animals', 'Birds', 'Difficulty and failure', 'Success', 'Difficulty and failure'], ['Sports: other sports', 'Sports: ball and racket sports', 'Sports: other sports', 'Sports: ball and racket sports'], ['Film and theatre'], ['Film and theatre', 'Literature and writing', 'Personal qualities', 'Language'], ['Games and toys', 'Shopping'], ['Games and toys', 'Games and toys', 'Computers', 'Sports: other sports', 'Difficulty and failure', 'Success', 'Success'], ['Buildings', 'Education', 'Games and toys', 'Business', 'Holidays', 'Transport by water', 'Suggestions and advice'], ['Computers', 'TV, radio and news'], ['Film and theatre'], ['Music', 'Birds', 'Opinion and argument'], ['Sports: ball and racket sports', 'Games and toys', 'Body', 'Personal qualities'], 'Ches', ['Games and toys'], ['Film and theatre', 'Danger']]"
3,drown,"['people', 'Individual', ['Sports: water sports'], ['Health problems', 'Crime and punishment', 'Social issues'], ['Danger'], 'Bystander', ['Animals']]","['people', 'Individual', ['Health problems', 'Crime and punishment', 'Social issues'], ['Animals'], ['Language']]"
4,drag,"['people', 'Individual', ['Animals'], ['Language'], ['Transport by car or lorry'], ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Physics and chemistry', 'War and conflict', 'War and conflict', 'Law and justice', 'Weather', 'Permission and obligation']]","['people', 'Individual', ['Animals'], ['Language'], ['Transport by car or lorry'], ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Physics and chemistry', 'War and conflict', 'War and conflict', 'Law and justice', 'Weather', 'Permission and obligation']]"
5,dance,"['people', 'Individual', ['Hobbies', 'Jobs'], ['Family and relationships'], ['People in society', 'Business', 'Music'], ['Film and theatre', 'Music'], ['Education', 'Education'], ['Jobs', 'Working life', 'Personal qualities'], 'Amateur', 'Participant']","[['Family and relationships', 'Life stages', 'Jobs', 'Business'], ['Hobbies', 'Music'], ['Film and theatre'], ['Education', 'Music', 'Shopping', 'Hobbies', 'Music'], 'Choreography', ['History', 'Clothes and Fashion', 'Film and theatre', 'Clothes and Fashion'], ['Film and theatre', 'Sports: ball and racket sports'], ['Feelings', 'Film and theatre'], ['Clothes and Fashion', 'Clothes and Fashion', 'Art', 'Literature and writing']]"
6,miss,"['people', 'Individual', ['Games and toys', 'Sports: ball and racket sports', 'Music', 'Music', 'Film and theatre'], 'Shooter', ['Animals', 'Animals'], 'Marksman']","[['Success', 'Working life', 'War and conflict'], ['Sports: ball and racket sports', 'Success'], ['Success'], ['Sports: ball and racket sports', 'Sports: ball and racket sports', 'Sports: other sports', 'Film and theatre', 'Opinion and argument', 'Success', 'Healthcare', 'Sports: other sports', 'Doubt, guessing and certainty', 'Difficulty and failure', 'Doubt, guessing and certainty'], ['Success']]"
7,cool,"['people', 'Individual', ['Engineering', 'Shopping'], ['Engineering'], ['Law and justice']]","[['Cooking and eating'], ['Houses and homes', 'Holidays'], ['Weather', 'Health problems'], ['Weather', 'Space'], ['Scientific research', 'Houses and homes'], ['Language'], ['Weather', 'Opinion and argument', 'Feelings', 'Personal qualities'], ['Weather', 'Opinion and argument', 'Feelings', 'Personal qualities'], 'people', ['Opinion and argument', 'Personal qualities'], ['Clothes and Fashion', 'Clothes and Fashion'], ['Language'], ['Animals', 'Biology']]"
8,rest,"['people', 'Individual', ['Working life'], ['Holidays'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Education', 'Education'], ['Animals'], ['Language'], 'Person', 'Individual', ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Film and theatre', 'Music'], 'Athlete', 'Worker']","[['Houses and homes', 'Shopping'], ['Houses and homes', 'Geography'], ['Houses and homes', 'Working life', 'Education'], ['Gardens', 'Politics', 'Sports: ball and racket sports'], ['Healthcare', 'Music', 'Life stages'], 'Restroom', ['Sports: ball and racket sports'], ['Education', 'Maths and measurement', 'Success', 'Suggestions and advice', 'Opinion and argument', 'Healthcare', 'The environment'], ['Body', 'Body', 'Crime and punishment', 'Transport by car or lorry', 'Appearance', 'Clothes and Fashion'], ['Language'], ['Language'], 'people', 'Individual', ['Games and toys', 'Sports: ball and racket sports', 'Farming'], ['Film and theatre', 'Music'], ['Sports: other sports', 'Sports: other sports', 'Health and Fitness'], ['Working life'], ['Engineering', 'Health problems', 'Crime and punishment', 'Feelings', 'Weather', 'Life stages'], ['Time', 'History', 'Time', 'Education', 'Language'], ['Holidays', 'Education'], ['Holidays', 'Education', 'Religion and festivals'], ['Film and theatre'], ['Sports: ball and racket sports'], ['Health problems', 'Change, cause and effect', 'Money', 'Healthcare']]"
9,escape,"['people', 'Individual', ['Crime and punishment'], 'Captive', 'Criminal', ['Animals'], 'Inmate', 'Escapist', 'Person', 'Individual', 'Survivor', 'Escaper']","[['Education', 'Maths and measurement', 'Success', 'Suggestions and advice', 'Opinion and argument', 'Healthcare', 'The environment'], ['Crime and punishment', 'Life stages'], ['Danger', 'War and conflict', 'Danger', 'War and conflict', 'Danger', 'War and conflict'], ['Success'], 'Trap', ['Language'], ['Language'], 'people', 'Individual', 'Survivor', 'Escaper', ['Film and theatre'], 'Instance', ['Difficulty and failure'], ['Danger', 'Holidays'], ['Film and theatre']]"
10,grasp,"['people', 'Individual', ['Education', 'Transport by car or lorry'], ['Education', 'Education'], ['Jobs'], ['Education'], ['Education', 'Jobs'], ['Working life'], ['Scientific research', 'Jobs']]","[['Language'], 'Concept', ['Education'], ['Discussion and agreement', 'Discussion and agreement', 'Permission and obligation'], ['Success']]"
