0,17,say,"Design: Crossed lines over the toytown tram: City transport could soon be back on the right track, says Jonathan Glancey",0,0
1,6,know,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",0,0
2,8,shake,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",0,0
3,14,roll,"MODERN trams, as most continental Europeans know, neither shake nor rattle, nor do they roll.",0,0
4,2,build,"Sleek, solidly built, gentle on the environment, they are often an ideal form of city transport.",0,0
5,2,exert,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",1,1
6,12,slither,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",1,1
7,21,flash,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",0,1
8,27,switch,"They also exert a fascination very much of their own as they slither round circuses and brush through old city gates, flashing arcs of lightning as they switch tracks on winter nights.",0,0
9,17,invent,"Single-car, articulated or double-decker, trams are one of the most reliable and enduring forms of public transport invented.",0,0
10,4,replace,"Eventually they will be replaced, but more than 60 years on they run with the rhythmic reliability of a Swiss watch.",0,0
11,12,run,"Eventually they will be replaced, but more than 60 years on they run with the rhythmic reliability of a Swiss watch.",1,1
12,4,announce,Last month it was announced that Britain will get its first new-wave trams in 1991.,0,0
13,8,get,Last month it was announced that Britain will get its first new-wave trams in 1991.,1,0
14,0,destine,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",1,0
15,2,run,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",1,0
16,7,relieve,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",1,0
17,13,reduce,"Destined to run in Manchester, they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre, outlying suburbs and satellite towns of Bury, Altrincham, Salford, Oldham and Rochdale.",1,0
18,9,forget,"In Britain, with the main exception of Blackpool( not forgetting the single-deckers of the Isle of Man and Llandudno), trams had been largely relegated to the history books.",0,1
19,23,relegate,"In Britain, with the main exception of Blackpool( not forgetting the single-deckers of the Isle of Man and Llandudno), trams had been largely relegated to the history books.",0,0
20,5,see,"Otherwise, the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies.",0,0
21,6,work,"Otherwise, the best place to see working trams has been the tram museum at Crich in Derbyshire or else in old British Transport Commission films and Ealing comedies.",1,0
22,1,disappear,Trams disappeared from most British cities in the 1950s.,0,0
23,6,rumble,London's venerable red and cream double-deckers rumbled along the Thames embankment for the last time in 1952.,0,0
24,18,growl,"Somehow the image of the tall, thin, mournful double-deck tram with its wooden body, slatted wooden seats and growling electric motor has stuck in the British mind.",1,0
25,22,stick,"Somehow the image of the tall, thin, mournful double-deck tram with its wooden body, slatted wooden seats and growling electric motor has stuck in the British mind.",1,1
26,3,believe,"Trams, it was believed until surprisingly recently, are old-fashioned.",0,0
27,9,wrap,"They had something to do with fish and chips wrapped in newspaper, men in hats, National Health specs, smog and powdered egg.",0,0
28,1,hold,"They held up the bright new diesel buses and, even worse, blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares.",1,0
29,11,block,"They held up the bright new diesel buses and, even worse, blocked the progress of private motorists in bulbous Austins and lumpen Humbers in canyon-like city thoroughfares.",1,0
30,1,pick,They picked up power from a spider's web of unsightly overhead wires.,1,0
31,20,screw,"They were inflexible in operation, draughty, and mobile reminders of TB epidemics with the enamelled ��__ Do Not Spit signs screwed to their bulkheads.",0,0
32,1,play,It plays a key role in keeping city streets on the move and is even the object of the best modern designers' desire.,1,1
33,6,keep,It plays a key role in keeping city streets on the move and is even the object of the best modern designers' desire.,1,0
34,7,design,"In Milan, for example, the commission to design the new generation of ��__ Jumbo trams, which went into service in 1979, was one that leading Italian architects and designers fought over.",0,0
35,16,go,"In Milan, for example, the commission to design the new generation of ��__ Jumbo trams, which went into service in 1979, was one that leading Italian architects and designers fought over.",1,0
36,24,lead,"In Milan, for example, the commission to design the new generation of ��__ Jumbo trams, which went into service in 1979, was one that leading Italian architects and designers fought over.",1,0
37,29,fight,"In Milan, for example, the commission to design the new generation of ��__ Jumbo trams, which went into service in 1979, was one that leading Italian architects and designers fought over.",1,0
38,7,impose,"After all, the Jumbo, a handsome and imposing articulated unit designed by architect, engineer and critic Klaus Giovanni Koenig, will be seen on the streets of Milan for the next half-century.",0,1
39,10,design,"After all, the Jumbo, a handsome and imposing articulated unit designed by architect, engineer and critic Klaus Giovanni Koenig, will be seen on the streets of Milan for the next half-century.",0,0
40,21,see,"After all, the Jumbo, a handsome and imposing articulated unit designed by architect, engineer and critic Klaus Giovanni Koenig, will be seen on the streets of Milan for the next half-century.",0,0
41,0,assume,"Assuming the power station at the end of the line burns cleanly, the tram is virtually pollution free.",1,0
42,0,stand,"Standing at traffic lights a Koenig-designed Jumbo is, save for the chatter inside, completely silent.",1,1
43,8,save,"Standing at traffic lights a Koenig-designed Jumbo is, save for the chatter inside, completely silent.",0,0
